algorithm,fid,delta,magnitude,better
ap,1,1.0,large,False
ap,2,0.9904,large,False
ap,3,-0.6992,large,True
ap,4,-0.0368,negligible,True
ap,5,0.9776,large,False
ap,6,0.6896,large,False
ap,7,0.5136,large,False
ap,8,0.3888,medium,False
ap,9,0.3344,medium,False
ap,10,0.2608,small,False
ap,11,-0.0432,negligible,True
ap,12,0.9264,large,False
ap,13,0.9456,large,False
ap,14,0.9808,large,False
ap,15,-0.2192,small,True
ap,16,-0.232,small,True
ap,17,0.616,large,False
ap,18,0.6224,large,False
ap,19,-0.0208,negligible,True
ap,20,0.4144,medium,False
ap,21,0.3504,medium,False
ap,22,0.4848,large,False
ap,23,0.1328,negligible,False
ap,24,0.0208,negligible,False
fixed:best/1,1,1.0,large,False
fixed:best/1,2,1.0,large,False
fixed:best/1,3,0.6192,large,False
fixed:best/1,4,0.9808,large,False
fixed:best/1,5,1.0,large,False
fixed:best/1,6,1.0,large,False
fixed:best/1,7,0.9808,large,False
fixed:best/1,8,1.0,large,False
fixed:best/1,9,1.0,large,False
fixed:best/1,10,0.9808,large,False
fixed:best/1,11,0.4048,medium,False
fixed:best/1,12,1.0,large,False
fixed:best/1,13,1.0,large,False
fixed:best/1,14,1.0,large,False
fixed:best/1,15,-0.0912,negligible,True
fixed:best/1,16,-1.0,large,True
fixed:best/1,17,1.0,large,False
fixed:best/1,18,1.0,large,False
fixed:best/1,19,0.6,large,False
fixed:best/1,20,0.744,large,False
fixed:best/1,21,0.5584,large,False
fixed:best/1,22,0.6896,large,False
fixed:best/1,23,0.0976,negligible,False
fixed:best/1,24,0.776,large,False
fixed:current-to-best/1,1,1.0,large,False
fixed:current-to-best/1,2,1.0,large,False
fixed:current-to-best/1,3,-0.2224,small,True
fixed:current-to-best/1,4,0.7152,large,False
fixed:current-to-best/1,5,1.0,large,False
fixed:current-to-best/1,6,1.0,large,False
fixed:current-to-best/1,7,0.8848,large,False
fixed:current-to-best/1,8,0.9744,large,False
fixed:current-to-best/1,9,0.936,large,False
fixed:current-to-best/1,10,0.9936,large,False
fixed:current-to-best/1,11,0.1136,negligible,False
fixed:current-to-best/1,12,1.0,large,False
fixed:current-to-best/1,13,1.0,large,False
fixed:current-to-best/1,14,1.0,large,False
fixed:current-to-best/1,15,0.1776,small,False
fixed:current-to-best/1,16,-0.008,negligible,True
fixed:current-to-best/1,17,0.9648,large,False
fixed:current-to-best/1,18,0.8688,large,False
fixed:current-to-best/1,19,-0.1264,negligible,True
fixed:current-to-best/1,20,0.5328,large,False
fixed:current-to-best/1,21,0.5552,large,False
fixed:current-to-best/1,22,0.4688,medium,False
fixed:current-to-best/1,23,-0.0688,negligible,True
fixed:current-to-best/1,24,0.0912,negligible,False
fixed:current-to-pbest/1,1,-1.0,large,True
fixed:current-to-pbest/1,2,-0.1904,small,True
fixed:current-to-pbest/1,3,0.3504,medium,False
fixed:current-to-pbest/1,4,0.7984,large,False
fixed:current-to-pbest/1,5,-0.3696,medium,True
fixed:current-to-pbest/1,6,-0.2384,small,True
fixed:current-to-pbest/1,7,-0.5104,large,True
fixed:current-to-pbest/1,8,-0.3408,medium,True
fixed:current-to-pbest/1,9,-0.4368,medium,True
fixed:current-to-pbest/1,10,-0.5168,large,True
fixed:current-to-pbest/1,11,-0.408,medium,True
fixed:current-to-pbest/1,12,-0.2736,small,True
fixed:current-to-pbest/1,13,-0.2736,small,True
fixed:current-to-pbest/1,14,-0.8944,large,True
fixed:current-to-pbest/1,15,-0.3472,medium,True
fixed:current-to-pbest/1,16,-0.0496,negligible,True
fixed:current-to-pbest/1,17,-0.376,medium,True
fixed:current-to-pbest/1,18,-0.4656,medium,True
fixed:current-to-pbest/1,19,-0.2192,small,True
fixed:current-to-pbest/1,20,0.84,large,False
fixed:current-to-pbest/1,21,0.1104,negligible,False
fixed:current-to-pbest/1,22,-0.4816,large,True
fixed:current-to-pbest/1,23,0.2,small,False
fixed:current-to-pbest/1,24,-0.2736,small,True
fixed:rand/1,1,1.0,large,False
fixed:rand/1,2,0.6544,large,False
fixed:rand/1,3,0.8496,large,False
fixed:rand/1,4,0.9424,large,False
fixed:rand/1,5,1.0,large,False
fixed:rand/1,6,0.9616,large,False
fixed:rand/1,7,-0.5328,large,True
fixed:rand/1,8,-0.088,negligible,True
fixed:rand/1,9,0.2032,small,False
fixed:rand/1,10,1.0,large,False
fixed:rand/1,11,0.9136,large,False
fixed:rand/1,12,0.9392,large,False
fixed:rand/1,13,0.7472,large,False
fixed:rand/1,14,1.0,large,False
fixed:rand/1,15,0.2864,small,False
fixed:rand/1,16,0.136,negligible,False
fixed:rand/1,17,0.4496,medium,False
fixed:rand/1,18,0.52,large,False
fixed:rand/1,19,0.7888,large,False
fixed:rand/1,20,0.9968,large,False
fixed:rand/1,21,0.1936,small,False
fixed:rand/1,22,0.3792,medium,False
fixed:rand/1,23,0.3344,medium,False
fixed:rand/1,24,0.7952,large,False
fixed:rand/2,1,1.0,large,False
fixed:rand/2,2,1.0,large,False
fixed:rand/2,3,0.9904,large,False
fixed:rand/2,4,1.0,large,False
fixed:rand/2,5,1.0,large,False
fixed:rand/2,6,1.0,large,False
fixed:rand/2,7,0.9584,large,False
fixed:rand/2,8,1.0,large,False
fixed:rand/2,9,1.0,large,False
fixed:rand/2,10,1.0,large,False
fixed:rand/2,11,1.0,large,False
fixed:rand/2,12,1.0,large,False
fixed:rand/2,13,1.0,large,False
fixed:rand/2,14,1.0,large,False
fixed:rand/2,15,0.9584,large,False
fixed:rand/2,16,-0.1072,negligible,True
fixed:rand/2,17,1.0,large,False
fixed:rand/2,18,1.0,large,False
fixed:rand/2,19,0.9616,large,False
fixed:rand/2,20,1.0,large,False
fixed:rand/2,21,0.424,medium,False
fixed:rand/2,22,0.4496,medium,False
fixed:rand/2,23,0.0784,negligible,False
fixed:rand/2,24,1.0,large,False
jade,1,0.8848,large,False
jade,2,-0.7632,large,True
jade,3,-0.8528,large,True
jade,4,-0.472,medium,True
jade,5,0.6864,large,False
jade,6,-0.168,small,True
jade,7,-0.76,large,True
jade,8,-0.44,medium,True
jade,9,-0.2288,small,True
jade,10,0.008,negligible,False
jade,11,0.5968,large,False
jade,12,0.1904,small,False
jade,13,-0.1712,small,True
jade,14,0.7856,large,False
jade,15,-0.9488,large,True
jade,16,-0.6864,large,True
jade,17,-0.5072,large,True
