algorithm,ap,fixed:best/1,fixed:current-to-best/1,fixed:current-to-pbest/1,fixed:rand/1,fixed:rand/2,jade,oracle:best-fixed,pm,success-rate,thompson,ucb,uniform
ap,1.0,1.0,1.0,0.126554054998562,0.00128936767578125,0.00021457672119140625,0.013398170471191406,1.0,1.0,1.0,1.0,1.0,0.2539423189456716
fixed:best/1,1.0,1.0,1.0,1.0,1.0,0.015018224716186523,1.0,0.015531783570201931,1.0,1.0,0.5416173934936523,1.0,1.0
fixed:current-to-best/1,1.0,1.0,1.0,0.2539423189456716,0.00128936767578125,0.00021457672119140625,0.11323750019073486,0.10201518735490431,1.0,1.0,1.0,1.0,0.6186094632050121
fixed:current-to-pbest/1,0.126554054998562,1.0,0.2539423189456716,1.0,0.0015299320220947266,0.0002714395523071289,0.20204901695251465,0.007646365561004331,0.30127441396718674,0.08312768106698074,1.0,0.8975653442513352,1.0
fixed:rand/1,0.00128936767578125,1.0,0.00128936767578125,0.0015299320220947266,1.0,2.682209014892578e-05,1.0,0.0016479728577134358,0.001077890396118164,0.001077890396118164,0.0018095970153808594,0.006351113319396973,0.0008785724639892578
fixed:rand/2,0.00021457672119140625,0.015018224716186523,0.00021457672119140625,0.0002714395523071289,2.682209014892578e-05,1.0,0.07740247249603271,9.298324584960938e-06,0.0002714395523071289,0.00021457672119140625,9.298324584960938e-06,0.0001653432846069336,0.00012350082397460938
jade,0.013398170471191406,1.0,0.11323750019073486,0.20204901695251465,1.0,0.07740247249603271,1.0,9.298324584960938e-06,0.07138752937316895,0.013398170471191406,0.011694073677062988,0.2541278600692749,0.16772782802581787
oracle:best-fixed,1.0,0.015531783570201931,0.10201518735490431,0.007646365561004331,0.0016479728577134358,9.298324584960938e-06,9.298324584960938e-06,1.0,1.0,1.0,1.0,1.0,0.07138752937316895
pm,1.0,1.0,1.0,0.30127441396718674,0.001077890396118164,0.0002714395523071289,0.07138752937316895,1.0,1.0,1.0,1.0,1.0,0.09024323608320074
success-rate,1.0,1.0,1.0,0.08312768106698074,0.001077890396118164,0.00021457672119140625,0.013398170471191406,1.0,1.0,1.0,1.0,1.0,0.042687562848721314
thompson,1.0,0.5416173934936523,1.0,1.0,0.0018095970153808594,9.298324584960938e-06,0.011694073677062988,1.0,1.0,1.0,1.0,1.0,1.0
ucb,1.0,1.0,1.0,0.8975653442513352,0.006351113319396973,0.0001653432846069336,0.2541278600692749,1.0,1.0,1.0,1.0,1.0,0.2826897494016162
uniform,0.2539423189456716,1.0,0.6186094632050121,1.0,0.0008785724639892578,0.00012350082397460938,0.16772782802581787,0.07138752937316895,0.09024323608320074,0.042687562848721314,1.0,0.2826897494016162,1.0
