algorithm,p_raw,p_holm,significant
fixed:rand/2,1.6689300537109375e-06,2.002716064453125e-05,True
fixed:rand/1,1.3113021850585938e-05,0.0001442432403564453,True
success-rate,0.0008209146701677176,0.008209146701677175,True
oracle:best-fixed,0.0014052521979880856,0.01264726978189277,True
pm,0.0019200688528340584,0.015360550822672467,True
jade,0.0039006471633911133,0.027304530143737793,True
ap,0.006193715096235893,0.03716229057741536,True
ucb,0.007439203931621478,0.03719601965810739,True
fixed:current-to-best/1,0.017674556091571775,0.0706982243662871,False
thompson,0.04804479976978151,0.14413439930934452,False
fixed:best/1,0.6230943202972412,0.9308306424800634,False
fixed:current-to-pbest/1,0.4654153212400317,0.9308306424800634,False
